,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,000001.SZ,20190402,13.28,13.48,13.23,13.36,13.18,0.18,1.3657,1100384.04,1466040.987
1,000001.SZ,20190401,12.83,13.55,12.83,13.18,12.82,0.36,2.8081,1951401.19,2588268.668
2,000001.SZ,20190329,12.26,12.82,12.21,12.82,12.22,0.6,4.91,1669506.47,2108295.393
0,000002.SZ,20190402,32.13,32.48,31.71,31.99,32.07,-0.08,-0.2495,509272.85,1631797.324
1,000002.SZ,20190401,31.02,33.1,31.0,32.07,30.72,1.35,4.3945,1078515.11,3449265.526
2,000002.SZ,20190329,28.8,30.75,28.75,30.72,28.8,1.92,6.6667,970329.93,2903231.426
0,000005.SZ,20190402,3.95,4.06,3.9,4.0,3.98,0.02,0.5025,420247.23,167585.511
1,000005.SZ,20190401,3.8,4.15,3.78,3.98,3.77,0.21,5.5703,717011.69,287958.383
2,000005.SZ,20190329,3.68,3.78,3.62,3.77,3.68,0.09,2.4457,255442.91,95353.115
0,000006.SZ,20190402,7.01,7.27,6.99,6.99,7.0,-0.01,-0.1429,412847.92,293753.263
1,000006.SZ,20190401,6.85,7.03,6.77,7.0,6.75,0.25,3.7037,434472.65,302036.963
2,000006.SZ,20190329,6.59,6.81,6.52,6.75,6.55,0.2,3.0534,342032.85,229279.563
0,000007.SZ,20190402,7.53,7.92,7.41,7.61,7.53,0.08,1.0624,155365.27,118644.166
1,000007.SZ,20190401,7.21,7.68,7.21,7.53,7.25,0.28,3.8621,142837.97,106578.212
2,000007.SZ,20190329,7.01,7.25,6.9,7.25,7.03,0.22,3.1294,98950.11,70350.036
0,000008.SZ,20190402,4.73,4.96,4.71,4.85,4.72,0.13,2.7542,1411419.16,684084.222
1,000008.SZ,20190401,4.71,4.75,4.62,4.72,4.62,0.1,2.1645,1092487.72,512303.688
2,000008.SZ,20190329,4.5,4.65,4.49,4.62,4.5,0.12,2.6667,612127.17,281372.377
0,000009.SZ,20190402,6.94,7.13,6.83,7.0,6.88,0.12,1.7442,759518.79,532492.102
1,000009.SZ,20190401,6.77,6.94,6.72,6.88,6.71,0.17,2.5335,587229.33,402621.812
2,000009.SZ,20190329,6.53,6.72,6.32,6.71,6.51,0.2,3.0722,571424.02,375271.123
0,000010.SZ,20190402,3.67,3.69,3.6,3.63,3.66,-0.03,-0.8197,64150.76,23350.399
1,000010.SZ,20190401,3.55,3.68,3.5,3.66,3.49,0.17,4.8711,82520.08,29848.078
2,000010.SZ,20190329,3.42,3.51,3.37,3.49,3.43,0.06,1.7493,58129.38,20111.634
0,000011.SZ,20190402,11.93,12.23,11.76,11.8,11.93,-0.13,-1.0897,116834.7,139693.128
1,000011.SZ,20190401,11.8,12.09,11.65,11.93,11.67,0.26,2.2279,138763.96,165103.11
2,000011.SZ,20190329,11.25,11.72,11.17,11.67,11.33,0.34,3.0009,107718.58,124221.229
0,000012.SZ,20190402,5.71,5.92,5.71,5.76,5.72,0.04,0.6993,314985.1,183070.203
1,000012.SZ,20190401,5.57,5.76,5.56,5.72,5.54,0.18,3.2491,260373.43,148359.893
2,000012.SZ,20190329,5.42,5.56,5.33,5.54,5.39,0.15,2.7829,185752.81,101587.937
0,000014.SZ,20190402,12.76,12.93,12.42,12.78,12.7,0.08,0.6299,172415.16,217975.693
1,000014.SZ,20190401,12.33,13.16,12.19,12.7,12.33,0.37,3.0008,244782.46,309941.58
2,000014.SZ,20190329,11.98,12.34,11.74,12.33,12.02,0.31,2.579,159195.3,192539.41
0,000016.SZ,20190402,5.74,5.74,5.56,5.58,5.71,-0.13,-2.2767,487856.51,274051.698
1,000016.SZ,20190401,5.59,5.74,5.59,5.71,5.59,0.12,2.1467,546219.56,309167.313
2,000016.SZ,20190329,5.42,5.7,5.35,5.59,5.42,0.17,3.1365,418808.53,231437.318
0,000017.SZ,20190402,5.51,5.62,5.46,5.47,5.5,-0.03,-0.5455,126450.21,69811.551
1,000017.SZ,20190401,5.38,5.56,5.38,5.5,5.38,0.12,2.2305,138618.69,76053.871
2,000017.SZ,20190329,5.25,5.42,5.23,5.38,5.24,0.14,2.6718,114161.9,61011.104
0,000018.SZ,20190402,2.81,2.91,2.79,2.86,2.79,0.07,2.509,470021.93,134398.223
1,000018.SZ,20190401,2.72,2.8,2.71,2.79,2.7,0.09,3.3333,341867.6,94776.946
2,000018.SZ,20190329,2.62,2.7,2.56,2.7,2.61,0.09,3.4483,330715.4,87482.12
0,000019.SZ,20190402,8.57,8.65,8.47,8.55,8.56,-0.01,-0.1168,116128.62,99296.032
1,000019.SZ,20190401,8.47,8.63,8.4,8.56,8.38,0.18,2.148,117911.19,100619.808
2,000019.SZ,20190329,8.25,8.41,8.16,8.38,8.24,0.14,1.699,87159.3,72529.456
0,000020.SZ,20190402,12.75,13.0,12.7,12.82,12.74,0.08,0.6279,31173.13,39979.819
1,000020.SZ,20190401,12.53,12.85,12.5,12.74,12.5,0.24,1.92,34843.57,44219.108
2,000020.SZ,20190329,12.23,12.79,12.21,12.5,12.19,0.31,2.5431,27192.6,33887.913
0,000021.SZ,20190402,9.76,9.97,9.61,9.75,9.8,-0.05,-0.5102,781847.31,761599.829
1,000021.SZ,20190401,9.46,9.94,9.46,9.8,9.38,0.42,4.4776,894556.32,868369.185
2,000021.SZ,20190329,8.96,9.5,8.78,9.38,9.06,0.32,3.532,825263.93,758341.65
0,000023.SZ,20190402,16.24,16.4,16.01,16.28,16.05,0.23,1.433,55575.22,90122.689
1,000023.SZ,20190401,15.75,16.23,15.74,16.05,15.69,0.36,2.2945,46289.95,74075.585
2,000023.SZ,20190329,15.33,15.69,15.21,15.69,15.34,0.35,2.2816,31437.09,48692.653
0,000025.SZ,20190402,34.3,34.95,33.5,33.66,33.38,0.28,0.8388,71547.65,244345.699
1,000025.SZ,20190401,32.5,33.88,32.5,33.38,32.54,0.84,2.5814,55213.03,184145.959
2,000025.SZ,20190329,31.49,32.88,31.47,32.54,31.75,0.79,2.4882,45576.07,147160.613
0,000026.SZ,20190402,9.14,9.34,9.06,9.19,9.14,0.05,0.547,120310.05,110478.446
1,000026.SZ,20190401,8.95,9.16,8.95,9.14,8.95,0.19,2.1229,96131.0,87413.229
2,000026.SZ,20190329,8.74,8.95,8.72,8.95,8.74,0.21,2.4027,49269.52,43612.438
0,000027.SZ,20190402,6.73,6.75,6.61,6.65,6.74,-0.09,-1.3353,161460.4,107951.62
1,000027.SZ,20190401,6.52,6.74,6.48,6.74,6.49,0.25,3.8521,259510.42,172329.025
2,000027.SZ,20190329,6.35,6.5,6.31,6.49,6.35,0.14,2.2047,111959.07,72135.833
0,000028.SZ,20190402,51.5,51.56,50.8,50.93,51.57,-0.64,-1.241,19249.68,98160.552
1,000028.SZ,20190401,51.8,52.49,51.1,51.57,51.49,0.08,0.1554,30329.62,156640.689
2,000028.SZ,20190329,49.8,51.5,49.17,51.49,49.31,2.18,4.421,24540.04,124765.881
0,000030.SZ,20190402,5.45,5.45,5.23,5.35,5.35,0.0,0.0,97702.63,51829.5
1,000030.SZ,20190401,5.2,5.38,5.2,5.35,5.18,0.17,3.2819,92800.96,49211.942
2,000030.SZ,20190329,5.1,5.22,5.07,5.18,5.12,0.06,1.1719,77996.13,40351.021
0,000031.SZ,20190402,6.75,6.85,6.62,6.84,6.67,0.17,2.5487,619876.43,417329.414
1,000031.SZ,20190401,6.77,7.01,6.58,6.67,6.56,0.11,1.6768,805874.47,543395.963
2,000031.SZ,20190329,6.0,6.56,5.98,6.56,5.96,0.6,10.0671,754226.37,482557.839
0,000032.SZ,20190402,10.59,10.6,10.31,10.4,10.53,-0.13,-1.2346,67690.43,70618.71
1,000032.SZ,20190401,10.23,10.56,10.12,10.53,10.13,0.4,3.9487,85288.18,88345.125
2,000032.SZ,20190329,9.87,10.19,9.6,10.13,9.91,0.22,2.22,72076.52,71471.09
0,000034.SZ,20190402,16.02,16.2,15.69,15.75,16.17,-0.42,-2.5974,176652.73,282134.115
1,000034.SZ,20190401,15.99,16.28,15.88,16.17,15.77,0.4,2.5365,168807.36,272147.083
2,000034.SZ,20190329,15.16,15.89,15.08,15.77,14.91,0.86,5.7679,153703.67,238910.528
0,000035.SZ,20190402,5.37,5.37,5.27,5.3,5.34,-0.04,-0.7491,88035.3,46744.665
1,000035.SZ,20190401,5.24,5.38,5.24,5.34,5.21,0.13,2.4952,105628.82,56043.919
2,000035.SZ,20190329,5.12,5.21,5.06,5.21,5.1,0.11,2.1569,72876.81,37542.022
0,000036.SZ,20190402,7.73,7.78,7.63,7.72,7.64,0.08,1.0471,254565.84,196156.226
1,000036.SZ,20190401,7.52,7.73,7.48,7.64,7.42,0.22,2.965,347154.8,264818.264
2,000036.SZ,20190329,7.21,7.44,7.18,7.42,7.2,0.22,3.0556,217566.61,159727.369
0,000037.SZ,20190402,14.5,15.68,14.3,15.0,14.35,0.65,4.5296,175037.25,265924.21
1,000037.SZ,20190401,13.87,14.39,13.5,14.35,13.72,0.63,4.5918,135161.8,191263.456
2,000037.SZ,20190329,13.77,14.15,12.58,13.72,13.93,-0.21,-1.5075,144572.82,194143.643
0,000038.SZ,20190402,13.79,15.0,13.64,14.51,13.68,0.83,6.0673,170900.5,242611.999
1,000038.SZ,20190401,13.33,13.73,13.18,13.68,13.13,0.55,4.1889,73541.02,99336.378
2,000038.SZ,20190329,12.83,13.15,12.78,13.13,12.96,0.17,1.3117,41676.25,54221.006
0,000039.SZ,20190402,15.12,15.26,14.95,15.06,15.11,-0.05,-0.3309,220969.98,332467.923
1,000039.SZ,20190401,15.24,15.26,14.9,15.11,14.92,0.19,1.2735,369034.51,556719.301
2,000039.SZ,20190329,14.08,15.04,13.99,14.92,14.04,0.88,6.2678,388951.56,566502.295
0,000040.SZ,20190402,10.2,10.55,9.92,10.05,9.97,0.08,0.8024,1249484.48,1273495.088
1,000040.SZ,20190401,9.3,9.97,9.09,9.97,9.06,0.91,10.0442,1151365.92,1112936.121
2,000040.SZ,20190329,8.74,9.15,8.73,9.06,8.78,0.28,3.1891,483864.71,432070.346
0,000042.SZ,20190402,13.14,13.25,13.03,13.2,13.06,0.14,1.072,54279.94,71342.864
1,000042.SZ,20190401,12.7,13.16,12.7,13.06,12.65,0.41,3.2411,70693.78,92077.926
2,000042.SZ,20190329,12.5,12.69,12.28,12.65,12.38,0.27,2.1809,50742.12,63689.326
0,000043.SZ,20190402,9.0,9.66,8.93,9.25,9.0,0.25,2.7778,170528.68,158421.68
1,000043.SZ,20190401,8.79,9.04,8.79,9.0,8.78,0.22,2.5057,110919.45,99184.823
2,000043.SZ,20190329,8.54,8.8,8.54,8.78,8.54,0.24,2.8103,59380.98,51685.286
0,000045.SZ,20190402,8.03,8.21,8.0,8.0,8.06,-0.06,-0.7444,117333.84,94987.36
1,000045.SZ,20190401,7.92,8.08,7.86,8.06,7.78,0.28,3.599,134278.11,107192.474
2,000045.SZ,20190329,7.6,7.8,7.41,7.78,7.67,0.11,1.4342,111042.11,84796.31
0,000046.SZ,20190402,7.49,7.63,7.35,7.43,7.44,-0.01,-0.1344,248331.96,185960.304
1,000046.SZ,20190401,7.36,7.53,7.33,7.44,7.33,0.11,1.5007,296609.1,220106.327
2,000046.SZ,20190329,6.82,7.34,6.82,7.33,6.83,0.5,7.3206,308317.59,220058.703
0,000048.SZ,20190402,20.72,20.74,20.46,20.5,20.61,-0.11,-0.5337,5089.29,10477.921
1,000048.SZ,20190401,20.43,21.19,20.17,20.61,20.34,0.27,1.3274,8467.54,17353.08
2,000048.SZ,20190329,20.26,20.49,20.0,20.34,20.26,0.08,0.3949,4458.67,9042.929
0,000049.SZ,20190402,36.45,36.47,35.46,36.12,36.03,0.09,0.2498,33296.74,119475.019
1,000049.SZ,20190401,35.35,36.2,35.1,36.03,34.95,1.08,3.0901,41484.08,148591.642
2,000049.SZ,20190329,33.72,35.07,33.46,34.95,33.46,1.49,4.4531,31757.01,109670.186
0,000050.SZ,20190402,16.4,16.46,16.01,16.05,16.25,-0.2,-1.2308,558798.41,905963.135
